category,text
None-of-the-above,I really cry 😭 vere level bro
None-of-the-above,Semaa story .lalif role is  awesome sema
None-of-the-above,Please give alok please please please please please please please please please please please please please please please please please please please please please please please please 😭😭😭😭😭😭😭😭
None-of-the-above,Make vedio about Thiruvallur and 18 sittargal bro pls
None-of-the-above,"Jose Morphin  so you love licking pickle than eating a cucumber, but don't spread it"
None-of-the-above,If ur homosexual then u can understand their positions
Hope-Speech,Malini akka is my inspiration.I admire her attitude and தமிழ்
Homophobic,i fucking hate lesbians...
Hope-Speech,Im proud to say tat im transgender
Hope-Speech,My kind advice... if u want to make a film on LGBT community then make it perfect....don't go with blind idea...bring out the right feel and their intense feelings....that will make u a good and true filmmaker...all the very best
None-of-the-above,Sanjiv a this is the problem why must see this point of sex. See this as a relationship beyond boundaries.
Counter-speech,"It's unfortunately very difficult to be accepted for people on some countries especially for religious countries where people mostly are so religious and just following the dogmas and religion rules.  I feel very sorry for LGBTQ people living in those kind of countries,  their life is not really life but just following other people will.  They cannot be themselves."
Counter-speech,Hats off to these women who are really bold and empathitic.. Please grow up guys.. We have no right to judge others personal life..
None-of-the-above,Congrats mate... you're doing a great job 💗👏👏👏👏
None-of-the-above,Bro talk about edm genre and Indias potentiality and current status....
None-of-the-above,"Saranya ha ha I nt waiting for an awareness campaign bt our youngsters itself  fearing to place infront their facts about this  topic , wen  it change thn the first step for   awareness will also be selfintiated"
None-of-the-above,Nice ur service people help
None-of-the-above,"DEEPHIKA A   U are doing great work. If i got any contact, i give u surely sis... 👍🏼"
None-of-the-above,She is looking very very Georges
None-of-the-above,Guys tend to be gay more percentage... Hardly homosexuality in girls..if girls being lesbian also no one will questions... Even most of straight guys interested with lesbian and lesbian porn...but only straight girls hate gays or gaysex
Counter-speech,Homosexual relationships were common in India before mughals invasion... U can see Homosexual sculptures in temple... It was justified in mahabharata.. N epic stories... Just search homosexual relationship in an isn't India... Courtesans in the Castle were having same sex... Like anthapuram girls had lesbian relationship... Don't be brainwashed by white people n their theories that were imposed on us..
None-of-the-above,Hi... I am 26 years old looking for a manly partner( serious relationship)... WhatsApp
None-of-the-above,Brooo.. im really crying broo...  😢😢😢
None-of-the-above,What will be our future world pathium pesunga na :).
Hope-Speech,Proud of you Amma👍
None-of-the-above,That's true majority is not a power to decide about rights
None-of-the-above,"I know I'm Late,,,,  but I really like her speech 🙂🙂🙂🙂🙂"
None-of-the-above,"aneesh cool so u need change in law right. Correct. Even I told that law is favoring women and culture is favoring men. Both should be changed. U want change in law bt cant accept change in culture. Now a change came. Article 377. This change is boon for homosexual men. And how many men are supporting it? We dont need special women empowerment. Leave the nonsensical social norms, a woman will get empowered by herself."
None-of-the-above,Why is it necessary to mention her gender?
None-of-the-above,Bala Kumar as per railway rules... Beggars not allowed inside railway station
None-of-the-above,Thank you so much 🙂
None-of-the-above,For those who suppport the research of WHO on LGBT.; ; I need to insist that the person who conducted this reserch himself is a Homosexual...
Counter-speech,Thanks for supporting sir
None-of-the-above,Thank you brother :)
None-of-the-above,I too expect that song
None-of-the-above,Like the content very much. ... Wanna be like this. But how can I. .. the society  around me haunting. ..; ; Living each moment sadly ...sacrificing for others
None-of-the-above,Aww... she is so cute.... compare more boring face girls....
None-of-the-above,Don't act smart.
None-of-the-above,"I support her, very smart ponnu"
None-of-the-above,Even killing is biological. Can we be okay with it ?
None-of-the-above,Mr Tomboy  she is lesbian ??
None-of-the-above,Nice bro 😍 waiting part 2
None-of-the-above,Tmp you are great brows for giving food to poor..
Counter-speech,Bold speech Malani sister! To get better understanding please watch this video given by psychiatrist Dr Shalini who shared it with scientific reasons behind the scene. Thanks
None-of-the-above,Hey congrats bro
None-of-the-above,Its individual choice so no one as ryt to say.so this is completely fyn.
Hope-Speech,Sema speech I support LGBT community 💪💪✌✌✌😍🙏
Counter-speech,I cried really at last...
None-of-the-above,Hope they will
Hope-Speech,This movie changed my thought.. ..i love gay..i want gay friendship
None-of-the-above,Government have to treat and respect all people...
None-of-the-above,Heart melting bro.😥😢..doing good bro..
None-of-the-above,"Malini nice interview, really a bold girl . Ignore the haters they cannot understand all this. Victory is ours. Let's celebrate ourselves,  it's our life there is no need for anyone's permission to live."
None-of-the-above,Same girls...... Unsubsribe this channel
None-of-the-above,I feel u r I'll treating her. Because she s transgender. U r calling her pa pa nu. She wants to be a girl. Ur behaviour is different when u talk to other people. Change that.
Hope-Speech,Public engaged this pepel
Homophobic,Gay and lesbianisim is their own choice !!! But they should not force  or scare a common ppls !!! If u want to do keep it in your four walls !!!
Homophobic,u r devil follower not god
Hope-Speech,You look a bit like TV actress Vani Bhojan. You have gone through so much Sennila be brave much love and blessings to you
None-of-the-above,Ys it will be inspiring for someone atleast.... Thank you the crew
Hope-Speech,Vera level tharamana sambavam thalaivaasss hats of guys for your whole team waiting for part2✌😎😍☺🔥🔥✌
None-of-the-above,Dinesh Babu my family does :)
Hope-Speech,Super bro love you all (I am from Sri Lanka 🇱🇰)part 2 iam waiting
None-of-the-above,"stop using heterosexual men, use abuse men"
None-of-the-above,Wow 90k subscribers sooper bro
None-of-the-above,Excellent movie directed by a phenomenal director. My salute to Mr Mani Shanker Iyer.
None-of-the-above,Anchor Semma hot
None-of-the-above,7:49 I cried 😭😭
None-of-the-above,Hatsoff to u alll mam❤️😍😍
None-of-the-above,"This movie was perfect and accurate for the various perspectives of all people involved in this conversation. I am so happy for the result of the movie and I am extremely happy to see such a strong resolve in Latif to stand on everything that he believed in. He is the true hero in this story. Get you a Latif, he will fight for you thick and thin."
None-of-the-above,She is also intelligent
None-of-the-above,Dear students you will come to school on Feb 1st 2021 the purpose of NOMINAL ROLE preparation regarding.... Without fail...
Hope-Speech,"Intha ulagathula normal ah irukuravanga kitta poi ipd pannuna enaku enna nu poiruvaanga,... This is the major difference in this society...💔"
None-of-the-above,We need a part two
None-of-the-above,I'm glad she did that on the anchor's face 😂😂😂
Hope-Speech,Thanks for Josh Talks; ; No Negative comments; ; Proud to be GAY 🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈
None-of-the-above,Why do these LGBT couples have to adopt children and screw up their minds too.. when you don't believe in natural selection and procedure of reproduction why go for children...  Doesn't everything contradict here
Hope-Speech,Super amma next video waiting 😍😘
None-of-the-above,Aah sorry bro but this nt related to hormones. It's true that they r born that way... but it isnt a hormonal imbalance or mental disorder as ppl think about it.
None-of-the-above,"DRAGON BALL FAN  We don't care about your opinion , LOL"
None-of-the-above,Good acting brother
None-of-the-above,Vignesh Rahman  pon namer sent me
Hope-Speech,Really they are Great❤️ with Compare. With normal peoples They are really Equal to God...
None-of-the-above,Tamil nadu Bus Metro ItRain...
Transphobic,Hey seriously I thought She was a Transgender
None-of-the-above,pradeep  and my sincere request to you is to not procreate because the world doesnt need one more idiot like you !!!
None-of-the-above,Hey; I'm Muthu; Ur gud name please
None-of-the-above,Sinthu Kuna  i agree with u completely. in fact i liked this movie.
None-of-the-above,Don't worry. You are not a good person and you are not attractive. So no one will disturb you.
None-of-the-above,"vasim asaraf religion dont homosexuality lol they dont support women only. So why women should follow this religion or culture? She cant be priest in temple, Imam in mosque or Father in a church. So who is protecting this culture? Its actually men are who are protecting culture. Every rituals that constitutes ur culture are lead by men be it marriages or any other ceremony. It is started by men, for men and of men. So how can women spoil culture when she is nt even part of it. Im nt against culture. From the day I was born its ur culture which is against me. Every religion plays a drama saying their God is for everyone bt its nt the truth.So I dont get any right in ur culture and all I get is lot of duties lol  Dont say women to follow culture cauz she is not part of it. And Im happy she is not."
None-of-the-above,Dangit! I can't understand some most of it xD
Counter-speech,Bro Vera level bro semma ; No words to tell
None-of-the-above,Royal Queen  You must know that laws are also made by men.Again its men who supported women.I dont support homosexuality.In church you have nun.
None-of-the-above,Pavom that akka
None-of-the-above,"Totally moved by the movie! Superb picturization, music, emotional sequences, and awesome acting! The actors really have done a great job! Kudos!!"
None-of-the-above,Please give alok please please please please please please please please please please please 😭 me
Counter-speech,DRAGON BALL FAN  I'm sorry ur frnd experienced such a bad thing (forced behavior in any form be it heterosexual or not is a bad thing) u don't have to explain but there are rapists in all sexualities! So u gonna hate sex all together? No! U just let ppl live their life! Avlo dhan!
None-of-the-above,Karthik Karthik  Hi kaarthick iam karthick
None-of-the-above,Gay life very good
None-of-the-above,Hyy this is vijay sethupathy voice.....
Hope-Speech,experience  Thaks bro I love you so much  bro
Hope-Speech,"So much pain  these people live in , Our people should  start respecting all, she is so much kind hearted..... Love u sister"
None-of-the-above,KUMAR.G PAUL are u gay in the 1st place? Stop commenting based on yr limited knowledge. U guys here answering without not even see the question paper.
None-of-the-above,Cool Bans   I'm in india only.. I opposed those killing.. what more I can do.. should I start an organisation to kill them😂😂😂
None-of-the-above,"Amazing clarity in answers, just the necessary emotions while answering, good questions by the interviewer as if it comes from the  eyes of the society and  finally casual  photography   & direction on the road side !!   well done nakkheeran"
None-of-the-above,I miss my varsha ; She is transgender
None-of-the-above,Her reactions are really pretty..💓
None-of-the-above,Bala kumar  i don't know about lgbt community...Bt can u tell me y u hate them
None-of-the-above,suvitha shree ya i won't  use bad words..thanks for ur advice
None-of-the-above,Total Different Thambi emotional touch. valthukal all the best.
None-of-the-above,A good message too
None-of-the-above,She is the good human being 😎
None-of-the-above,"Yeah of course  I have an  example    areas   in  coimbatore like ghadhipuram  local  busstand  ,it happens in night  time"
Counter-speech,Normal people.... Don't think anything else... ; The people facing several problem... They know pain of other people... (Eg) This video
None-of-the-above,Ur girl nd how u will date with girl so I asked like tat..
None-of-the-above,please take an look thank you and support
None-of-the-above,Y title has transgender actress..jus put as actress...
None-of-the-above,guru moorthi  Good morning☕❤💖
Transphobic,Very ugly stupid thirunangai
Hope-Speech,In this world the most kindness human being is transgender .
None-of-the-above,Well said Madan. If we support homosexuality the society thinks we also gay or bi that is the problem here. Anyway they are also human beings; Respect all   😊😊
None-of-the-above,her innocence and kind hearted makes me goosebumps
None-of-the-above,Their altitude is bad
None-of-the-above,Brother really it's good...getting out of your comfort zone..and talking about these topics....👍hatts off....I really appreciate that...👏👏..
None-of-the-above,"GREAT STORY,I AM GAY AND I AM ENVIOUS ABOUT HARISH FOR HAVING SUCH CUTE AND LOVING BOYFRIEND.LATIF I AM YOUR FAN FROM NOW ON AND I AM IN LOVE WITH YOU.....U"
Hope-Speech,God bless you
None-of-the-above,Why YouTube is recommending now this video after 1 year?
None-of-the-above,Do U know how any disease will  Come to this....
None-of-the-above,What r u talking about??; He didn't die in the end ......
None-of-the-above,aswin aswin sister huh? Sure?
None-of-the-above,"Kayathri Devi true, he sounds as if he is an amature and just over exited of interview. presentation means everything, there is lot of difference between malini's way of presenting and others. I am not surprised why you're disgusted."
None-of-the-above,Yes bro fact this one
None-of-the-above,; ☝ see the above link avala Iva🤐
Homophobic,"If it is mutual okay. Or else if a male or female is attracted to another male or female, and proposes his or her interest ,but if the latter is not interested what will the former do? In some cases if a boy and a girl are in love and if some other boy loves the boy and if the former rejects the proposal then sometimes it may lead to crime. To this against nature. If the proposals are mutual we can accept. But how do we know it is mutual or compelled."
Counter-speech,Gayathri Krishnan.  same way u can't change ppl's sexuality!
None-of-the-above,I m proud of you 🖤💥🔥
Hope-Speech,waiting for part 2
Homophobic,Mohamed sameer ...hy such a good heart u r ...such a nice person ...😀😀😊😊its good to c ur comment and the way u replied ..
None-of-the-above,Nice engaging movie on gay love . Companionship and compatibility are more important in conjugal relationships than just bearing children to perpetuate the family tree.
None-of-the-above,"so emotional, try to help"
Homophobic,I support lgbt I love gay and lesbian people
None-of-the-above,Raghu Kethu thank you bro
None-of-the-above,Pretending to be very brave and acting like actor dhanush.
None-of-the-above,"Simply Superb interview , started to admire you. more way to go sis."
None-of-the-above,"Red blouse aunty super speech,blue short worst speech"
None-of-the-above,raja s  word! So u never called urself a Hindu?
None-of-the-above,Thank you. Pls let us know any future collaborations.
None-of-the-above,"vasim asaraf I think ur name say that u r muslim. And the number 4 also proves it. K yes u can marry 4 women if they are ok with it. I have no problem. Unless its not forced, u can do it. Bt does ur Islam allow women to marry four man? This is the question. If I marry four man, then dont ask me. Leave marrying four men lol if girl is in relationship with more than one guy. Ur language has very beautiful words. Whn religion condemned polygamy for men lol? They have all freedom to marry how many they want. It was IPC that made a law for monogamy. In Tamil Nadu only great grand fathers were getting married to multiple woman."
None-of-the-above,No Wrods Really super akka🥰
None-of-the-above,My first comment in YouTube....😍
None-of-the-above,Watch DR Shalini madam video. One can understand.
Homophobic,only a fool will misintrupt Bible. god need not have created man & woman if same gender sex is ok . even animals do not do this. what more proof u need it is not god s will.
None-of-the-above,This short film was mentioned & Appreciated in the Hindu  Tamil newspaper Sunday edition 3 or 4 weeks before. Since that I was searching it in you tube & couldn't find this short film. A Well needed & Bold registered short film for upcoming Social changes. And a big 👏👏👌for behindwoods for uploading this short film.
None-of-the-above,She look like actress rthyvika
None-of-the-above,Nice story best acting and thank you for creating this movie from heart❤💖
Homophobic,"anu lavanya  it's the feeling they have developed with intention.. it's all about the mindset.. it has been a news that doctor who said this kind of behaviour as harmonial issue itself a gay.. it should be treated properly, not to be encouraged."
None-of-the-above,This interview was worth every second
None-of-the-above,"next level to # control the human population,  sec 377... BRILLIANT  PLAN... WISH THE NEXT GENERATION WILL BE FREE FROM OVER CROWD ............. lot more to say,,, this comment alone not enough to explain... think positive...."
None-of-the-above,Please put another live video bro
None-of-the-above,SELVA KUMAR  contact number message to me
Counter-speech,"Brah, bring sex education in schools &  you can talk about this lgbt stuffs,  cmon everything is taboo in India!!!"
None-of-the-above,Salute to that sister❤️
None-of-the-above,"I WONDER.. how bold to talk in front of camera. ; TO whoever support her, can I ask you something.... if u see her in public, do u see her in the same way like u see other girls. ; I have seen ppl.. jumping away from gay. ; This is just a talk show.. not for practical  life."
None-of-the-above,Muhammad Azeem.S.H .. a doctor can explain u better than me... Sorry
None-of-the-above,Madan speak briefly about the great 💪Velupillai Prabakaran😍 ltte. His birthday is on 26th November😍
Hope-Speech,Even men also facing lots of trouble when walking in late night. Even Murders are happen just for Money. But the society never cares about that. It only cares when it happen to a woman .
Hope-Speech,I will support lgbt I will support man to man mirrage equality
None-of-the-above,Waiting for 2021 pride March.. Can't wait .. This is gonna be my first pride...
None-of-the-above,Rizwan Mn ; What?; Tell me dear
None-of-the-above,Sharik  hope they don't.
Homophobic,This kind of feeling at Young Age is only infatuation can be easily treated by personal coincling and brought back to Right path and focus be on education
Hope-Speech,I am praying for all transgenders​.The   God of Gods having good plans for the transgenders because He created them.
None-of-the-above,Which place u style
Counter-speech,They can adopt children. Many parentless childrens are there. 377 section is broken for good cause i would say. When people are born with gay / lesbian thoughts then we cant change them its their mentality and their love.
Hope-Speech,Supper bro i will like bro im waitting for part 2bro veara leaval bro😥
None-of-the-above,she is so calm.....&big salute..
Hope-Speech,We will support sister
None-of-the-above,"4:22 question makes lot of sense with logic, great question. The answer was not convincing. Not against anyone. Need clarification for common people."
None-of-the-above,"Bro,, I am living in Singapore, so that give ur number, I will call you"
None-of-the-above,"vasim asaraf Dont force me to quote verses from Holy Quran k. Do u think I have not read it? Im reading about every religion. And I have not found one that truly cares about welfare of women. Quran clearly states a man gets share that equals to two female. is it not mentioned? Even as a witness in court,  there should be two men. If they get only one man, they should be accompanied two women in the place of other man. Men are twice higher than women tatz wt they are saying. I didnt mention chapter and verse no. If u want I can. Im nt speaking with arrogance. I want you to know Im reading Scriptures. Cauz they think Im speaking like this cauz Im nt aware of it. Actually people who support culture are the ones who are unaware of their own history."
None-of-the-above,Thalavia video vra level 💓...u r lucky person...  U have good talent and creativity mind... Thalavia... Video vra level!
None-of-the-above,Preethi2395 Preethi I am lesbian
None-of-the-above,"First safeguard your women , then come and talk about others"
Counter-speech,Too much of speaking
None-of-the-above,whao ...great ...love it
None-of-the-above,Superb movie sir. No kiss and hugs scene but love feelings is more and more.i have just seen this movie. No one express deep love for lgbt so far but you  simply beautifully and very strongly telling to society.Love is Love.all the best for you future project.
None-of-the-above,That was a good try Lokesh expecting part 2 of it
None-of-the-above,"T Rex  no bro, it's not a change, it's very normal. Homosexuality exists from stone age but recent ancestors suppressed it just because they don't like it ..."
None-of-the-above,I want to be one of the 0.001% ...
None-of-the-above,Royal Queen  c I have read all of u r comments shall we become friends if u like............
None-of-the-above,"First intro  super ra pesaniga bro unmaiyave antha akka sema good character ,👍"
None-of-the-above,"When Sachin Tendulkar made his 114  Perth.. this is what Richie Benaud said on air.. It's a shame that only a few 1000s are standing up and clapping for an inning that deserve a viewership of 100,000  the same applies to this movie.. it's a shame that we are watching this movie in YouTube and not in theatres 😞😞😞 this is 1 movie that deserve a theatrical release..."
None-of-the-above,She is look like serial actress
None-of-the-above,Bro I heard from my teacher that ...the reason why India was captured and ill-treated by British for years  is because of a group of men raped a British lady ..is that true ??
Hope-Speech,"This film is honest, true and very beautiful. Thank you for posting it."
None-of-the-above,Bro this is disgusting this is not fair to be prank with this shot of content really disappointed with this content bro
Counter-speech,Go S  such a matured and understand guy are ... But I can give one suggestion that u sacrificed ur life for ur wife and mom...;  U can share ur feelings and do what u want with guy who should be bi or gay and gud guy.. then u will get little satisfaction about life...;  See majority guys not straight according to me .. many guys also will perform same sex i.e bi.. hope u will get such gud guy...
None-of-the-above,very very bold hands off you
None-of-the-above,"Yep... elarum next video suggestion solraga.....but this generation definitely let their freedom about lgbtq community..... even North Indians , they are far more developed and extroverted in this thing ... ; well as you said we definitely need to handle this kind of situation in future ... good to watch this video .. cause these things are rarely explained in tamil ...."
None-of-the-above,who created the cell phone?  is it natural  No  .How can you say  natural.  use God name
None-of-the-above,Where level post
None-of-the-above,Very.nice uoamayathan ; Mara num. Parents
None-of-the-above,She is so cute
Homophobic,Really excellent movie....I feel that no one are ready to take bold steps like Latif....; But mere out of reality....most of the gay seek only s#x
Counter-speech,"Dr.Venkatesh Rajagopalan   Sir the mating between animals are in a different manner that is if a animal gave birth to a young one,after attaining the adulteryhood if there is no other animals for mating it mates with the animal which give birth to the young one.; ; According to my sense LGBTI is somewhat equality between the single sex desired person.This justice us just given equality in society.we dont have the rights to criticise them."
None-of-the-above,Fake da scripted
None-of-the-above,"Kudos to the whole team! Mani for his theme, Gautam for his music and the actors for their involved work!"
None-of-the-above,True!!! Loh!!! What she said is right!! Hope homophobic peoples ll understand
None-of-the-above,Wow 😍 😍 😍!!! Look at her attitude 😘 and how cool she handles things just like that 😉!!! Lover her Chennai slang 😍
None-of-the-above,Friends report this video.
None-of-the-above,vijay vj silly comment sir r mam get sum knowledge n watch the video
None-of-the-above,How to contact u yesi sathish as a frnd
None-of-the-above,She is so beautiful...
None-of-the-above,Love her smile..😍❤
None-of-the-above,I don't know how my life will go. But I know. My life will be like this movie. I will be with my mom and with my family. Love u 💗 mom. Love u my sweet ❤️ hasbend. I'm waiting for u baby ❣️.
None-of-the-above,I feel the tag line should be “Actress Katrina handbag secrets” instead of using Transgender as prefix
Counter-speech,Awesome... There is no Gender in love... Just felling only
None-of-the-above,she looks damn so pretty 😍
None-of-the-above,I think realy gay love super film👌
None-of-the-above,i. ss nice but
None-of-the-above,You are from He'll. ... Let God intervene and correct you...
Homophobic,Shoot him all. Dust bin
None-of-the-above,"Then you don't have options . And those women are not slaves . No one forces them to live like that. They love it , they feel secure and they find their own path most probably a right one. Go and ask your father that he ever buy a property in the name of your mother. We gave equal property rights to the women. We gave education . Do you know there are more than 70% of women are employed and equally paid . Yes they are covering their body for their safety. You forefathers looted your grannies treasures in the name of Dowry. In Suadi Arabia Dowry and Interest are prohibited . So don't call them slaves again."
Counter-speech,Super team 👍 congrats 👏
None-of-the-above,"Katrina is very beautiful, speaks generously. Some other actress show over scenes n fake laughters."
None-of-the-above,Bro wating for part 2
Hope-Speech,bro!  live as You wish. Good luck!
None-of-the-above,This movie  should be continued as like this mother were accepting him happy life..that will be too gud ..make it sir
Hope-Speech,Awesome movie with real problems of LGBT community. Grt job sir
None-of-the-above,Sudharshan AJ why mental your mental man
Hope-Speech,Sentimental prank bro heart broken 💔 sema bro👏👏
None-of-the-above,Latif character is awesome. Script and dialogue is remarkable.
None-of-the-above,Huge respect 👏
Hope-Speech,Salute for Thirunangai ! Love you all ! Love's from malaysia
None-of-the-above,Nice... But it seems to be scripted...
None-of-the-above,Pray for india...
Counter-speech,♥️❤️heart touching scene from 7.25 sec♥️❤️👌🥺
Counter-speech,Just Stunned anna😥🥺😭😭Vera level Anna Andha Amma Vera level 😭🙏All the best anna Stay Happy
None-of-the-above,weight loss tip's
None-of-the-above,Your feelings may be right but ur attitude and way of speaking is very bad. The person asking questions politely but you are rude. First u learn how to speak in public.
None-of-the-above,God is very great 😮😮😮😮😮
None-of-the-above,"Royal Queen  So can I steal you properties becoz its good thing for me..What do you still want from women empowerment.. Basically abusing is wrong.There r words they use to scold dads too..Do you see only the bad words they use??..Even girls are saying the word oth*** nowadays.Now,You see women are empowered enough to scold a boy with the same words boys uses to scold another  boy.Have you ever tried opening musically app??..I can say boys today are more disciplined than girls."
None-of-the-above,Nice buddy  .its truth's
None-of-the-above,Such a beautiful movie. Well-directed and acted. Both lead characters have portrayed their roles beautifully. This movie portrays the struggle every Indian gay man would have to go through whether they are in a relationship or not. Would like to see more movies from this team. Are you guys working on any new projects?
Counter-speech,"You don't agree with homosexuality just because u aren't a homosexual ??; Sounds ridiculous .; U need not be a girl to support feminist movements, do u get my point ?"
Homophobic,"This won't suits for INDIA, it is against to the nature. especially it won't  suits forT.N. At the Same we should not tease gay or lesbian."
None-of-the-above,"Lord jesus christ loves gay people.;  ; Those bible words were interpreted by some fake priests in later periods.; ;  Homosexuality is present in nature(birds, animals, insects,aqua creatures). Do some research about it"
Hope-Speech,It will take time to see the changes in the society regarding gay but we have to think from parents side how hard it is to know that their son is a gay also they will thought shame in brought up the child as gay in society unknowingly they can't digest this because of  lack of awarness this kind of movie should be created before itself to create awarness.
None-of-the-above,The woman is lovely person in world best preson♥️♥️♥️♥️♥️♥️♥️
None-of-the-above,Super bro....  Grow well soon...  All the best for your future success
None-of-the-above,I'm not talking about sex dude
None-of-the-above,I am a gay from Kerala
None-of-the-above,Bro you're a malayali right? I've seen your comments in Chithra chechi's posts. Seems you're a die hard fan
None-of-the-above,She is beautiful
Homophobic,Now world has been filled with these kind of pseudo intellectuals. Their fate is sealed and they reap what they have sowed.
None-of-the-above,"You media must show the other side as well, you need you show our opinions why it's harmful to the society,  and when you make unlawful thinks into lawful society will suffer"
None-of-the-above,krishna kumar  Don't live for others! Did you think girls will be happy if they kill their own wishes after marriage?
None-of-the-above,lovely interview....very nice sennila
None-of-the-above,I think its very bad to interfere in others bedroom relationship
None-of-the-above,To b her friend she doesn't want to b a lesbian got it
None-of-the-above,4 arivu athiham bro... Arivey illathavan kudutha theerputhan ithu
None-of-the-above,Very good thougt
None-of-the-above,"it was the courts that decriminalized it., not the government"
Counter-speech,true...  they are also a human beings
Homophobic,"What happens if all people Lesbian and gays in the world.No population rise.it is human nature or man made,we don't know.but one thing,all modern culture letting to destroy humanity and human.gay or Lesbian is individual choice,they can live together.but why govt also initiating this.one thing no one should forgot,if there parents were gay or lesbian means,they won't born itself.i not hurting them.this is my point of view.All are humans.any one hurt means sorry"
Hope-Speech,lovely family  ; Thanku நண்பா
Homophobic,Human being is going to destroyed LPGT. This is very bull shit judgement give to big history mistake. Don't speak to individual man freedom for LPGT. Because God is born only gents and ladies only .
Counter-speech,Tirunangai all of u great but that episode true proof this thirunangai super  hates of you...
None-of-the-above,Thala ; death bady 3 yapooo ; Plsss atha part 3 oru time panunga thala
None-of-the-above,"This s not prank, tis s planned short film..but fantastic acting bro u and tat sis"
Homophobic,sex is god gifts we shout not misuse this  ; gay and gay marriage not good
None-of-the-above,Dinesh Babu they won't .. because their religion doesn't support it... In india it is not the case..we have always been existing ..
Hope-Speech,Waiting for next video
None-of-the-above,Supper thalaiva vera level
Hope-Speech,Awesome bro 😎
None-of-the-above,wow nice sis your speech great go ahead.... mental people not agree this don't worry about that....
None-of-the-above,She is so cute
None-of-the-above,Bro I need best friend because I interested in gay life so how can I tell and share my feelings   another persons     am 25 so I need below 28 friend and manly person   don't understand estimate me another person and my feelings
Hope-Speech,Weird Math omg Ur very bold and mighty person
None-of-the-above,Hai sir handsome boy 💐🤝🏻good speech congrats 🌹🥰❤
None-of-the-above,Jugal Romil  of course me too
None-of-the-above,She is beautiful❣️
None-of-the-above,Saranya and people are think tat if they undergone  a complaint  for them it's a complaint  bt for police sight  it seems to be that  they are justifying their mistakes  poor relaity of current scenario around everyone of us
None-of-the-above,This should be in hindi as well...please bring a hindi version😊
None-of-the-above,I want her contact number please. To help her. Kindly contact me
Counter-speech,❤gud hearted person❤
None-of-the-above,Very proud of thirunangaigal🙏🙏🙏🙏🙏🙏👍👍👍👍👍👍
None-of-the-above,I miss my family...
None-of-the-above,What is mean of gay
None-of-the-above,"As a human being we should stay depends wat our mother nature made.by do opponently that only we're facing too many problems.so,i disagree this point"
None-of-the-above,"No, it's an addition. Own experience. Dont take that. Just eat green veg and fruits, it's enough for health."
Hope-Speech,Wonderful message brother...!!!
None-of-the-above,This was the best thing treat to my eyes!....a real enlighting cliping! ....awesome work team!..👍❤️🥰
None-of-the-above,Because  it's a good film
None-of-the-above,She’s fucking beautiful 😍❤️
Homophobic,"anu lavanya  it seems that some people likely to theft, you give importance to their feelings.. if some men have a sexual feeling with others wife. Is that u r going to encourage? There should be law to protect people going in a wrong way.. this is something they are developing by their mindset.. not the natural one.."
None-of-the-above,This is very bad
None-of-the-above,dont bring your religion idiot !!!
Hope-Speech,Thirunangaigal should stop this kind of behavior with public.
None-of-the-above,Brilliant speech . Theres need lot of guts to speak like this.
None-of-the-above,I didn't like bcz I don't know its script or not but she is more emotional we have to respect them instead of prank but I like the video more thank you..... they have a pure heart.....
None-of-the-above,level of maturity is absolutely stunning
Counter-speech,Good people still there lovely
None-of-the-above,"No girl, call them staright as lesbian is this they want to be called."
None-of-the-above,Vera level acting anna
Hope-Speech,Hats of Thalaiva🔥❤️
None-of-the-above,I like your Tamil accent
Homophobic,Fools......why can't you find solutions to come out of it?? rather than burn with unatural desires
Hope-Speech,No words to say THALIVA Vara level THALIVA
Homophobic,gay culture does not suit the Indian culture. that's it.
Hope-Speech,We want to support them
Homophobic,No...it is a sin....bro..☺️☺️☺️
None-of-the-above,"KIRAN- The Rebel they dont know their biological nature ,they only knows what the society their parents told.their neighbor and their relatives told .they wont think whats nature and how it will work .they think culture is more than anything .she said a point thats why india is first in danger for women in the world"
None-of-the-above,Bro vera level👍.. very good try. Keep it up....
Hope-Speech,Hamelton Melvin   super.you are very great.. your one of the good example for our people..but i am very  low compare with  you.because I am completely schooling only.i was discontinue in my higher education.at that time I was facing my sexsual abuse.but .i was unterstend my strength. when I came to Chennai my age is only 18.but I had confident.
Hope-Speech,Brooo part 2ku waiting bro broo semma act broo hatsoff broo👏🙏
None-of-the-above,Super  bro  u very nice fass
None-of-the-above,I strongly Aggree.. All depends on their own likings
None-of-the-above,Deepan Raj bro... The story about shin Chan death is fake
None-of-the-above,That's really a great thing done by galata Channel.
Homophobic,madam nalini....u talking too much right....ok i ask u. ...before mother father feel peace to send their kids with their friend...i mean girl with girl....boy n boy....but now...not only parents but public will look dirty and doubt at them....so no more freedom for anyone...
None-of-the-above,Best for India to reduce population
None-of-the-above,Its good for india anyhow we have to reduce population lol am just kidding don't take it serious
None-of-the-above,Anyone watched My son is gay ?
None-of-the-above,You look like real lady very beautifully.
None-of-the-above,PJ Chribbin lol you know only to curse ...
None-of-the-above,Bro second part yenga
None-of-the-above,Waiting for fun
None-of-the-above,ithu ellamey scripted 😂😂
None-of-the-above,Super broo good 🙏concept broo Hats off❤️ you 👍broo
Homophobic,Oversmart speech but illogical to nature harmful to humans actually these people affected by harmone imbalance
