,texts,five
4286,Overscene podama.. Humble ah pesuma,0
4287,@Chen Nila ; Devadhai... Maathri irukenga.... ; Yevan kalaichano... Rasana ketavanunga... ; Neenga azhaga irukenganu neenga unarnthal pothum.... ; Long live... Yevan yeval pesunalum kandukathenga.... ; Intha ulagam suyanalam ahnadhu...; Namma society romba worst.... Yenna seiya mudium... ; Nalladhae ninainga... ; Yaarukagavum ; Unga unmaya izhandhudaatheenga.... ; Mudinja vara ungla mathri kashtapadravngalku.... ; Alosanai kudunga.... ; Help pannunga... ; Nalla irunga... ; Government exam eludhunga.... ; 10th eligible la niraya post poduranga... Padinga society la nalla position la utkarunga.... ; Padicha matumtha maarum..... ; Kaalam maaridum....,0
4288,6 month baby ah kuda Rape panni saagadikuranga sissy...!  kalacharam paththi pesuranga... huh,0
4289,@Vishwa  ipa Vara girls kea safe Ila boys ala ...athuku first answer panugaa broo,0
4290,Enna oor neega.,0
4291,Evalungala aasinga paduthuradhula thppu ella chi,2
4292,@renga durai  ne than da vussu punda,0
4293,Intha maari enga clg la rendu pasanga love panni kittu irunthanga avanga kuda yarume pesa maattanga but naa peasuvan en fds ellarum sonnanga avanga kida peasuninaa enga kuda peasa kudathunu sollitanga apram naanum peasala,0
4294,raj   araj   adai ivLo naaL coma La irundhiya,0
4295,Thirunaggai Akka Vera level,0
4296,Nenga romba nallavanga❤ akka❤,0
4297,Super amma nenga,0
4298,Poda karpatt mandayaa sorry podi (confuse agiteen).😔😔,1
4299,Yes we’re so gay and we’re always gay,3
4300,Sema smart kaa neee,0
4301,Aliy Yila  bible sona vara elathaum follow pani kelichacha??? avaluku pedchamatri aduthavangala kastapaduthama valntha ongaluku enna???,4
4302,@Austin Shaji  Nan enna thappu pannen?,0
4303,Drama sir fullave,0
4304,Ungala paavam enru support panna ippadi dha pannuvingala ungala samugam thalli vekurudhala thappe illa,0
4305,nee anuppu kutty na call panuran  chall,0
4306,Idha thappunu solravangaludaya vazhkai latchanangalai dhan dhinamum tv layu news magazine layu apatama kaatitu irukangale ; Inga irukradhunga athanayu birany sundharangalum abiramingalum dhan ; Idhungaluku ozhukamna ennnu theryala unmaiyana anbum kedaikradhila ; Idhunga onna onna yemathikitu sagudhunga ; WatchThe other love story ' web series you tube la varudhu ; Idhu mirugangaluku illai ; Only for lesbians,0
4307,Sharuk Sameer Thax a lot man 👌🏻,0
4308,@Vimarsanam Nanum pannuven  OK ka,0
4309,Sivanin maru avadharangal...vaazhum kadavulgal...😭😭😭...,3
4310,This type of addiction...''iyarkaiye onnuku onnu muranbada iruku'' kevalamana explanation....thuu,1
4311,Antha paiyanuku sema talent,0
4312,Bigg boss 4 ku varuvangalo... 🤔🤔,0
4313,@P. Nagaraj _ 43  oru naaal nee roadla pogumbothu kundi la pooola uduvaaa vaangikoda thevidyaaa naaaye.... Elllame manasa poruthu thaaa.. Evano apdi porakaaala da emantha kooothi....,1
4314,Ennala mudiyala Kan kalangiduchi,0
4315,Same to me,0
4316,@Sakthiveel Leelavathi  sivakasi la yentha idam bro,0
4317,Part 2 Epoo Anna podvinge🤯,0
4318,You are so beautiful katrina,0
4319,Mama enkita pesunga mama please,0
4320,Ea pombala item illa ya... Call boys illaya... Avangalauku pudicha partner ha avanga choose panna urima irukku,4
4321,Enkau light ah emotion aguthu 9:08 antha akka udane dance panunanga🥺🥺💜💜💜 pure heart🥺,0
4322,Vera Level Thalaiva,0
4323,Unga vittoda yaru irukanu sollu nalla pannuva,0
4324,Fast mistake your tamil Nadu people enna tamil  fast vote your language tamil,0
4325,"Aduthavanga vaazhkaiyo unarchiyo baathikkatha entha oru vishayamum thappu illa. Heterosexual ah illa homosexual ah irukkanuma ndra oru thani patta manushanoda urimai, athanala vara nallathum kettathum avanga sambantha patta vishayam.... atha thappu seri nu ellam vimarsanam pannavo, classify pannavo yaarukumay urimai kedayathu. Ithellam namma ooru 'ellam therinja egambaram'ngaluku purinchikkara arivum illa, aethukkara manasum illa",4
4326,arumayana nalla vilakkam for homosexuality,3
4327,Enakkum vanthutuchi bro,0
4328,Eva pombalayaa Illa ambalayaa Illa 9 tha?,2
4329,Hand bagla condom irukum...,0
4330,@Ayy Ar  ninga ivvalavu anba  pesunatilaye enakku pati sariyagirucci.itutan unmaiyana natpirku adaiyalam.i am very love at you.ippave ungala katti pudicci lip kiss adikkanum pola irukku.so miss you.thanks a lot.ummmmmmah.,0
4331,Yes crt.... Aana ethana movie eduthalum..... Purijukkatha mattanga🥺😢,0
4332,@Taslim Umma  😊👍hmm,0
4333,sammma speech malini good.ithu irkai.yarudaiya thavarum ilai. yaraum thavaraga   comment pana    thavarana alugaluku urimai ila,4
4334,Mic neenga video podunga pls ; Na unga Story keadda piraguthan kai adippen✊💦💦 night mattum than keppa pannuva ; Unga Story suuuuuuper... 💚💛❤,0
4335,"Malni I like u r speech,  u guts ....ungalale mudinja neenge arasyal Thaliavi aaagamudyuma ? Oru podhu samoohathile yedhavdhu oru poruppalya irundhukatta mudyuma .apdi panni  kaatinge appo othukkuvom ... ungalale support pannuvom ??? Mudyuma",3
4336,unala utla thanni thelchi utanga pola,0
4337,Kadaicy varai ulachu sapidamateenga ungala sila per,0
4338,Neega epadi urupadiya irukingala,0
4339,unga life enjoy,0
4340,"Ethai parthu kan kalangi ponen, antha thirunangayin pasam, oru thaayin paasathai ponrathu,aval kaalil vilunthalum thavarillai, aseervatham vanguvatharkaga,,,,",3
4341,Operation paneviduga ☺️😂😂,0
4342,God will surely help you'll,3
4343,Sema speech malani,0
4344,Ivaluku ennamo noi iruku...mental mari pesura,1
4345,Akka romba nalla manasu❤,0
4346,yara iruntha yena un veetu laa vidu ne ipadi iruntha ne yena panuva .....first yelarum mind aa purinjutu pesunga yelarum....all r nature ... alvo pesura aal..yen after marriage ku apm yen kalla kadhal panuranga athula sari ya ....,1
4347,Neenga paiyana illa ponna?,2
4348,Ennaku intha prank a watch pannaodana ennaku ammaaaaaaaaa feel varuthu intha transgender ennaku yetho engao amma va irukugaa,0
4349,Never words....to godsgift gender.,0
4350,I love you,0
4351,Bro vera 11 pannringe,0
4352,Awesome 👍 🎉,0
4353,Endi thevidiya punda sunni... Unga amma kuda poiyu padu,1
4354,Vaalzthukkal sagodari thirunangaigalin vaalzkai yai ungalin moolam melum therindu konden neermaiyana niraiva unmaiya dairiyama pesuringa nalla yedirkalam amaiya vaalzthukiren vanakkam 👌👌👌👍👍👍👏👏👏💕💕💕🙏🙏🙏,0
4355,but ur attitudes...,0
4356,Respect all person nu simple ah neat ah solliringa bro... Keep it up.. ennakum oru frd irrukanga kandipa naan help pannuvan avangaluku....,3
4357,Murali Kumar fact fact👏🏽,0
4358,seruppa kalatti adikanum.; veliya poi work panni sambathikka vendiyathu thana.; ipdi makkala asinga paduthanuma thoooooooo.; vaaila nalla varuthu.; puduchu jail la podunga sir...,2
4359,9. Morattu single ku ponnungala pudikathu da😭😭😭😭,1
4360,"Naalu books ah kuda padikama oru loosu kootam iruku nu theriudhu.. Edhuku pride march nadakudhu nu theriama vellakaran kollakaran nu comment pantrukanunga.. Veli ulaga அறிவு, sexual orientation pathina arivu oru mannum illa",0
4361,Bro unmayave unkaluku na adict aitan,0
4362,Epadi perakkan enru yarum aasipaduvadhillai idu iyarkai,3
4363,Excellent bro keep it up 👌👌👌👌👌👌👌,0
4364,Gad plas you,3
4365,@Bala kumar  kadaisi vare periya prblm varum varum nu soldrenge..Aana athu enne nu solla matringe..incest etho ipo than arambichiruku porn than karanam nu solrenge!! U need to read more.,0
4366,Awesome speach last end eanna nan pakran  open na pesuvom mudiyala but nan nanana illa nan happy aa illa😭,0
4367,Part 2 ah,0
4368,Thrichy maanagara kaavalthurai enna seithukondu erukkindrathu udane nadavadikkai edukkavum potta paadu pasangala kaithu sei,2
4369,varattum varattum pakkalam ungala mari manithargalai yesuvargalai Ena seirar nu,0
4370,@Aswin Kutty  vera velaye illayaaa.....,0
4371,Sema kelvi bro,0
4372,Entha naykala kollunga sir,2
4373,Super  guys love you sisy❤️,0
4374,Sama gethu katarea girl,0
4375,Avanga points pudikala na athuku thitunga .. But look vachi thitaathinga Anna..,4
4376,Sundaramoorthy S  and Pradeep..rendu perum bayanthutinga pola..,0
4377,Poda losu koo. Vara prank pannuga da all kadikaliya ungalku,0
4378,Padieekavankalukku ithu pudiekala ana padiechavangalukku ithu pudiechiirrukku.....enna maitthuku padiekuriga paithiyem pudiecha pochi,0
4379,Broo i love u bro sema ...Antha manasu than kadavul😍,3
4380,Hii U like homosexual dear,0
4381,Dei already ponnu kidaikala idhula idhu veraya daw,1
4382,Sister nega varalevel akka,0
4383,Kannu kalakiruchi thambi 😭😭😭😭😭,0
4384,Vera level neenga Akka 😎😍😍,0
4385,kattupaadu pirakradhula enna thappu iruku; ungla oru kattupaatukulla ozhukama  valarkaadhadhu  tha ipa neenga pesuradhuku kaaranmaa ; ; oorinaserkai yerkanave irundhadhu thaa illanu sollalaadhu seyakoodadha ondru enbadhinaala tha adhu vendamnu sollavendi iruku; ; ; nenga solramadhiri paartha yaaru yaaruku vidhi vidhikradhu nu keta edhuvume oru ozhukathula irukaadhu ; ; kattupaadhu pirakradhu edhuku theriyuma oru ozhungu nilaiyila manidhan irukanum ndradhukaaga tha ; ; na edhuku mathavangaluku payapadanum na edhuku enna kattupaduthanum nu ellarum kelvi kettu vazhndha ipa irukradha vida ulagam innum mosama aagividum; ; manidhan thannudaya manadhai sariyaa aalanum manasila vara ella ennangalukum ella unarvugalukkum edam koduthaa avan sariyaana manidhane kedaiyaadhu; ; manidhan sariyaa irukanum ; ; pagatharivu idhuku thaa manidhil varum ennangal sariyaanadha illayanu nidhaanithu paakathaan; ; kadavul pakthi ulla penna neenga irundhinganaa ipadi pesamaatinga  unga manasa sariyaana amaipila nadathi iruppinga,1
4386,DRAGON BALL FAN nee pollachi paiyana?,0
4387,Neenga vara nanum epaditha casu. Kutha avanga yanoda purse sa pudingitu oditanga,0
4388,Super bro 🙏🙏🙏🙏🙏🙏🙏,0
4389,"Hey @ Desi Gamer, Ungalukenna Religion'ah follow panna Award'ah thara poranga. Tulukkan dhan enna ippo ! Holy book'ngra perla 1000 solluvan , adha follow panradhum pannadhadum avan avan viruppam. ; ; Adhuthavana [How Much Muslim you are ?] nu JUDGE panradha vitutu poi vera vela irundha parunga.",4
4390,SUPERSTAR VIJAY  ennaa paiyana thandi pethanga unna eppadi pethangalo appadi  iru ethuggu trans avara punda,2
4391,😘😘😘😘😘🥰 nanba Vera level,0
4392,Nice  super,0
4393,Kottayula kalala adingada,2
4394,Cinema thanam illatha kaadhala cinemavil solla ungala maathiri aall thaan theevai ; Great and matured,0
4395,Rommba varaverthuthinga pola vachara kadavul aapu CORONA savatum yellam,0
4396,9:14...  andha manasu dha nga கடவுள் 🙏,3
4397,Dei neenga la yenga irunthu da varinga,0
4398,Dai ..stop doing fake prank..loose ko..,0
4399,"ULTRON_ GAMING ,puriyala?.",0
4400,Serppala adi vanguvan vikatan. Unakku edavathu venumana unga appa ammavai yen interview ketkirathu,0
4401,Ivlo keavalama indha ponna ellarum pesuribgale ivanga yarunnu ungalukku theriuma plss not commend others,4
4402,Semma fun eduthu irukiga mama😍😍😍,0
4403,Dei transgender pool erunthu operation panuvanugada 🙄🙄,0
4404,Vishwa Hanu itha thavarunu solra ninga ok... adhe rishi galum yogi kalum vazha kalathulaye kovil sirpathula iruku,0
4405,Thevidiya mundaikala otha ommala ivalungaluku support panra baadu pasangala serupala adikanum,2
4406,Amma salute to u 🙏🙏🙏🙏🙏,0
4407,Next part fasta podunga anna,0
4408,atellaam onnume ellai.; sarcaiyum ellai onnum ellai.; avan pee tingiraan nu evenum pee tingiraan.; ente nigalciyai yedukkuraangele avungelai seruppaale adinge.; ente progrme tevai ellai.; ente progrmme yeduttevingele seruppale adingge.; appetan tirunttuvaange.; yen evenunge butti yellaam eppadi pee tinge pogutu?; yellaam yemattu velai.; yella  drama.,1
4409,"Na oruthadava friends kooda car la okanthurnthen ithunga varatha na pakala doora open panni kaasu kodu illati asingam padithurvean nu sonna so na kaasu koduthutean ithu mathiri neraiya nadanthurku romba mosam ithunga saabam vidrathu... Kaasu illa nu sonna theva illama peasunga  ,",2
4410,jeeva nandan ungalai poruthavai Ellam Kamam than Illa brilliant command,0
4411,Na starting la irunthu romba enjoy panni sirichitu irunthu dhidinu ennaiya meri enkanulairunthu thani vandhuduchu.. I respect transgender.. I salute,3
4412,Really aludhutan bro nan. Andha akka it's great,0
4413,But nee pesara tha paatha sema kaandu mayru aaguthu... 700 crore population irukara world la verum 20 crore lgbt... Periya punda mathri straight ahh thapu nu soldra paru... Unna road vechu burn pannanum di.... Kena koothi,1
4414,3 k thana chill pannu mapi,0
4415,@Dapur saishaa  👆👍,0
4416,Super bro like it,0
4417,Vidunga population kammiyaagum,0
4418,Yen pa. Oruthar 2 per itha sonna sari. But India la lakhs kanakula gays lesbian irukaga. Ethiku intha mathri feelings varuthu nu parunga.; ; Something innovative,4
4419,antha akka vukku yathana vela iruthurukkumo,0
4420,@Mani Shankar Iyer  naambitey,0
4421,Adappaavi. Appa ivangala paathaa manusan aa therialaya,4
4422,Ivananungala serupale atikanum,2
4423,Smart Subash aduku yellam padil varadu... oru pullai ya pethu partial tanae teryum.,0
4424,"Transgender,  Urggg",0
4425,Vekama potuga ga bro orea nerves aa iruku,0
4426,Bro nanum unga video ku varalam ma bro I'm good comedy pannu ven 😀😀,0
4427,Kannula thanni vara vachutanka akka....Nalla manasuku neenga nalla irupinga ....God bless you..,3
4428,Nice you 🔥🔥🔥🔥🔥🔥,0
4429,Waiting for video bro,0
4430,Bro unga nadippu semma 👌💯,0
4431,Iove you akka 😍😘😘😘😘😘😘😘💖,0
4432,Movie name ena,0
4433,"Antha ammakaka na subscribe pannunen, like panne, ellarum ipdi iruntha ivangalaium nambala mathiri respect ah nadathuvanga",0
4434,Sema bros ithu mathiri neraya pannunga valthukal,0
4435,U enna oor?,0
4436,இயேசுவே உலகின்ஒளி bro bible la homosexual thappunnu irukku but andha people ah apdi uruvakkunathum jesus nu why purunjukka maatinguringa . and indha maari social media la badword pesurathu ungalaala unmayana Christians ku avamaanam . nenga bible pathi pesaathinga,4
4437,Heart breaking video,0
4438,@Siva Kumar A  u r nos send pana bro,0
4439,Enna alagu paa antha ponnu manasu maathiriyee ponnum super,0
4440,nice you 🔥🔥🔥🔥🔥,0
4441,Antha akka semmmmma,0
4442,Thirunangai na romba mosamana vanganu nenaichan anna ana athu thapunu ippa than theriyuthu,0
4443,Prakash Durairaj.. naan saabam vidran.  Unaku poraka pora illana porantha pullainga homosexual illa lesbiana thaan irukum... ha ha ha. Respect others feeling.,4
4444,Thoo potta thevdiyaa payalunga gothaaEthu Onnum thappuu Eilla jiiiiiiii,1
4445,touching.... bt Actually innum neraya emotions kondu vanthruklam innum superb ah irundhrukum,0
4446,Intha ponnu tamil peisaruthuku kekka mattum vanthen.,0
4447,I am also gay,0
4448,Love you Malini🌷🌷🌷,0
4449,rifaya riju it's sexual orientation .. itha payithayumnu solra neenga than payithkyam.,0
4450,Anna super neraiya video podunga,0
4451,Cuteaah Tamil pesura Akka ..... Top tackar....,0
4452,Sema? Tion bro...,0
4453,"@Ayy Ar  tunggittingala bro,talavali eppadi irukku.are you OK baby.",0
4454,@Karthik Raja  dei unna maari aalunga lam innum irukeengala 🗣💦🌊 da ...... ninga setha ellam seri aagidum da,1
4455,Avanga FB ID enna bro...,0
4456,Live onnu panuga u r face I see it,0
4457,intha panni galukku Vera velaye illai kasu illenu sonna yetho asingama panranunga kaval adhigari nadavadikkai yedukkavendum ivangalai siraiyil tallavendum,2
4458,You look more beautiful😍 sis,0
4459,Kan kalanketa pro 😭😭😭😭😭,0
4460,@Ranjani Ranju  yarada sollura 10 pooluku poranthavanea,0
4461,@mony kathir  manankatti,0
4462,Dai ivalta yenda interview panringa,0
4463,@El TIGER  unaku epdi oru ponu mela attraction eruko andha Mari avangaluku same sex mela attraction eruku edha purinja theriyala na sagu,0
4464,Bro.. i like ur ❤️,0
4465,Antha manasu than sir kadavul,0
4466,Mendal thaaili poda angitu,0
4467,Ivaga ivlo cheap ah behavior panraga.,0
4468,Dinesh Babu my family does :),0
4469,Adhu oZHukam Da soothra naaye,0
4470,very good video nanbaa,0
4471,konjam un sutha muditu yellarayum vazha vidunga da,0
4472,Unga profile picture t-shirt la irukku! Type panradhu tanglish! Neenga Kalaacharathuku madhippu kudukreenga pola! Neenga culture ah kaapathura aal na poi kaapathunga! Aduthavangala idhu sei ipdi sei nu solradhuku neengalum naanum yaaru? Kadavula??,0
4473,Poi solraan loosu already Pongal vada channel laa pootutaanga daa,0
4474,"Super bro 😍.ellarum antha ammagale thapa tha nenaikirange but ana nambala vida avanga neriya kastapatu,vazhikaye vazhidrange ana yarum avangala mathikarathile, normal makkaluku vara kastam persu illa, ana thirunagaigal tha samugathula romba kasta padrange please yarum antha ammakale kastapaduthathige🙏",4
4475,Yelarum CM cell ku complaint pannunga.,0
4476,Yalarume twoss ha yagarudhya variga,0
4477,Semma bro..... Super moral.....,0
4478,"@Bala kumar   neenga sollunga bro,,what makes you straight?",0
4479,Eval oru 9 eva namala pathi thappa soltra,1
4480,@sowmya asokan  👏,0
4481,Bro part 2 sikirama podunga .....; 🥰🥰🥰🥰🥰,0
4482,Semma getha pesna pa,0
4483,Suber bro nise,0
4484,I love you amma,0
4485,Ennada prank show serial  mathiri aaakittinga part 1 part 2,0
4486,Nice you 🔥🔥🔥🔥🔥🔥,0
4487,Anna neengalam vera level🔥🔥🔥🔥,0
4488,Sema acting guys,0
4489,Na epa dan eindha movie padan LGBT normal persons dan .....na neeraya comments paduchan roimba kastam eruku ....be brave bro and sis ........ everything will change,3
4490,Antha akka casual ah nadikkala da thambigala...prank nu podratha nippaatunga da...,0
4491,Ithunga pinnadi pona avlothan. Jattimattum kidaikum. Careful friends,2
4492,Superb avanga pasurathu nala eruku,0
4493,Antha manasu than pa kadavul🙏🙏🙏🙏,0
4494,Yes; ...Gays naley kevalamthanu pesuranga,0
4495,Iva Nungambakkam item pa🤣🤣🤣🤣,0
4496,Sanjiv a enna kodumei? Konjum sollungge,0
4497,Romba nandri thalaiva share ku,0
4498,Sema vera lavel,0
4499,@RishiPedia  ☑  payithiyam payithiyam payithiyam,0
4500,Entha masutha tha kaduvul,3
4501,Malini akka poli mass 🔥🔥🔥❤️❤️,0
4502,"@Ayy Ar  why bro, na anta nombaratan whatsappuku use panren.any problem.",0
4503,Hahaha ; Nalla comedy,0
4504,Aiyooooh illenaaa mattem 🤨🤨🤨,0
4505,Evargalukku enna problem ethunala evuga la ella kelipannaga,0
4506,Kadavul kapathuvar 🙏,3
4507,Vj bro.. Improvement venum.. Talk boldly madakki madakki Kelvi kelunga bro.. Konjam face la smile irrukkalam.. Am against LGBT 😈😈😈,1
4508,Akka supera judge haa titunegaa super. Inthaa thirupu naala naadu dhan ketupogum....,1
4509,Romba nal kalichu unmiyana anba pathuden super bro.i subscribed,0
4510,Super nanba 🙏🙏🙏🙏🙏🙏,0
4511,Trans su ngra worda hurt panna use pannathinga,4
4512,Gay nale thappanavangadhan nenaika kudadhu ella gender layum thappu pandravanga pannitu dhan irukanga indha madhiri videos nala indha gender thappa project pandringa i m transman,4
4513,Oru ponna love panna pethavanka illanna yaro oruthan konnuduvan illa nna yemathittu kolanthaya konnuttu poiraluha athan pasanka virakthila ipdi panrankannu nenaikren,0
4514,9 mundaingala motha thooki pottu vettanum..,2
4515,U come collage,0
4516,well said ; May god bless u alot..... ; 👍👍,3
4517,Poi padi. Arivukatta punda,0
4518,Iva oru aalunu ivala interview panni valatthu vidathinga da😬😬😬😬😬😬,0
4519,Don't feel sister nega god gift maa,3
4520,Good movie but climaxe konjam change irugalam,0
4521,Ivan ambala potta vesam potturukan ivana pedicji jaila podanum,2
4522,"@Vignesh vikki  avangaluku yaaru job kudukura brother, aravani clge poi parthu irukeengala? kindal illama poga mudiyuma? avanga life kashtam bro.",4
4523,Akka vara leavel carekter thA super,0
4524,"Enna da nadakkudhu inga , ellarum prank..ae web series..ae mathureenga.. already oruthan love proposal prank 1,2,3,4.... Nu poitu erukan.. ipa ne veraya",0
4525,Ungaluku job; Vanumaa,0
4526,Kalachara seerkedu unnoda urimai unnoda vachikkanum atha ipdi velipadaiyaa kaamichikkurathu udanpadu illa .ippo pasanga pasanga onna nadanthu poga bayama irukku antha alavukku neenga nalla vishayam pannirukinga,1
4527,malini akka always right 💕💕💕,0
4528,Intha topic paartha vudane kovam than vanduchu... Avungaloda feelings aa vachu prank panrengalaanu..  But orange saree avungala paartha vudane kovam koranjathu... Ivarhal than unmaya manitharhal.. Manitha neyathudan nadappavarhal...,0
4529,Love u akkaa❤️ur great ❤️,0
4530,Super Mama👏👏👏...Kan Kalangiten....Arumai Arumai..,0
4531,I support lgbt but intha judgmenta missuse panakudathu.avangaloda life's particular rulesoda vaalalam,3
4532,Sema Akka avana saaha vida koodathunnu  avana epdiyavathu....,0
4533,"@Rusi Waran  unma dhana bro, apudiye shreya ghoshal madhiriye irukanga la 😍😍😍, yenaku idhan bro mukiyam, coz na homo illa 🤣🤣🤣🤣🤣🤣🙏",0
4534,Hi sister yanagu ungala rompa pidekkum on the best sister,3
4535,Ishvar Mahendiran apo sarida nan ji illa thangachi,0
4536,Entha oorula nee busla unkita amt pudungunanga tirupur la apdi ellm kitaiyathu,0
4537,Kadavul pa avanga... Azhuduten nan,3
4538,Counselling ungaluku thaan theva. Unga mindset laam maaranum..,0
4539,Intha pennu Thiruvannamalai,0
4540,Dinu T oh. Avanga unmaiya thaana solraanga. Yedho poiya unmai maadri solra maadri solreenga..,0
4541,Neinga gay ya bro,0
4542,👌👌👌bro vera level 👏👏👏,0
4543,Smart Subash dai loosu na unmaiya that solra,0
4544,Ive nalla varathuku atothavangala kashda patothanuma da junni,0
4545,pratap subramanyam 😂😂😅,0
4546,Meera Mithun oru kelavi,0
4547,Vera 11 antha Akka,0
4548,Vera level consapt bro,0
4549,@Aj Aj  kastam vara vaipu iruntha solren,0
4550,Na romba nall kathuttu eruntha intha  movie pakka but innakitha patha nariya perkita ketta kedakala nice move love it,0
4551,@horror films tamil  onnum purila ma ne enna solranu,0
4552,Nirmal kalimuthu ohhhhhooo..ok nanba..ippa puriyuthu...nee epadi puriyum padi..sollura mela oruthan  english pesiye saavatikuraan thalaivaa...,0
4553,Romba kastam dhan unga life,0
4554,Enna porutha varaum ethu ok than periya ammalanga 1mulan sunniya vatchu Chennai ponnungala vettayadaranga ethu paravayillaya. LGBT eruntha thappukal kuraum,1
4555,Naangallaam romba lucky. Paavapatta neenga poi unga velaya paarunga. Population a perukura velaya.,3
4556,Is it...ok ok ok hmmmm,0
4557,America thayoligalala India nasama pogapothu,0
4558,"Yella sattamum britishkaran kuduthathutha yellathiyum yeduthiduveengala,377 aproved by ambedkar,Nalaiyku jenitics mari appavoda,ammavoda,kulanthaigaloda,animalsoda,deadbodyiesoda freedomnusolli sex pannuvanuga atheyum leagalakiduveengala",0
4559,3:29 Aiyyo  Conjuring😲😲😲,0
4560,Nanba nega romba great...nanba nalla pannirukika,0
4561,Cho sweet ❣️,0
4562,Chi karumam... Ena di nyayam pesura.. naadu naasama poirum Di... Culture poirum ena pechu pesura ne unga Amma vum ponnu dhan marandhutu pesadha.. chi saavu di poitu..,1
4563,Naa karungal Patti juice kada veedhi,0
4564,Waiting part 2😎😎,0
4565,@Navaladi Ram  haahaa nattula niraiya peru veliya solla bayanthu eppadi than seiyuranga,0
4566,Pesuna  ivanuka ellarum vittuta mapalaiya nu solla ma poitanuka,0
4567,Bro nalaa panrinkaa bro neraiyaaa pranks panunkaa😀,0
4568,Nee valerethu tappu .ithule karuthu mathum sariya pesu ..mairu,0
4569,@karthikeyan  MN ;  MNM MNM;  ; ; MNM,0
4570,I'm girl love girl,0
4571,இயேசுவே உலகின்ஒளி ni ennoda muthratha motha kudi,0
4572,Vera leval ya,0
4573,petti kekura paiyane gay dan nu theliva theriyuhdu,1
4574,"LGBTQ+ community worldwide le, athunaale ellarukum mudinja alavuku puriyure mathiri pandrange",3
4575,Hats off transgenders,0
4576,Avungalukaga tha subcribe panna bro  thirnangai lam kadavuluku samam so always pls respect her,3
4577,ithellam oru program da thuuuuuuuu,0
4578,Ithu plan panni panranga,0
4579,Aashiq tshirt nice,0
4580,Ivan or ival  boy Illa girla  😂 Ival; Ivan 9 na 😂 I'm confused 😕,2
4581,Iva yenna loose ah,0
4582,and ne yen fake Id nu solra theriyuma??fb insta ta yen name poturpa..vanthurkaathu..apo fake id nu solrathu😂😂 dei lusu payale..unga buthi la avlotha da..pesama sutha muditu ukarunga,0
4583,Sorry  comment pannenavangkaluku oru sillarthan ippade irikangka athalla allarum thappanavangka illa Anthan ponnu pareya Thappa pasalla,0
4584,Epdi bro neengalum poi join pannu po,0
4585,Tamil Malaysia TV poda pundai payalae,1
4586,"@BSM  no labels ,,",0
4587,Ramesh Kumar athuvum iyarkayana unarchithaanga..,4
4588,Neenga vera level thala,0
4589,Naan oru murai ippadi train LA pogumbhodhu ketanga change illa.. Solliyum torcher pannanga ... En Friends Ratham varamaadhiry vaailayeakuthitaanunga Nalladha pochi illa na indha maadhiri.. Dhaan ketu irukum...,0
4590,Praveen kumar vayila nalla varuthu...chi venkam ketavangla,1
4591,Pro vera leval,0
4592,Pitchakara Moothevinga Train la Ukkara uda maatithunga Parathesinga thuu. Ithungaluku daily azha vendiyatha iruku,2
4593,Bro Vera level bro atha akka kadazhul mathiri bro,0
4594,Bro sikirama pannunga pakanum aasaiya iruku ❤️❤️❤️,0
4595,"Like that oru ponuku oru male organ avaloda vagina la pogum bothu tha sex sugama erukum, rendu ponunga sernthu ena panuvinga, banana or carrect ella fingers ah",1
4596,"@shinchan shinchan  unngaloda kobam ungalukku niyayamaana tu...avangaloda korikkai avangalukku niyayamaantu...so, namakkaa na life ah naama sirappa vazhvom bro...(377)Then why should this law be implemented???... ellam therinjathu kapparam thaa edhallam kondu vanthuruppanga....",4
4597,@Ram the Explorer  illa bro avangaluku enna urupu iruko andha jail dhan bro poduvanga,0
4598,Sariaana kelvi👏👏👏👏suma nachnu ketinga,0
4599,Dei nan veetula ponna luv pandra sonnala serupala adipanga ithula nan engatha pana pora,0
4600,Thirunangai are great,3
4601,Andha manasu irukula🙏🙏🙏🙏,0
4602,Enna azhagu da🤩,0
4603,Ithu mathiri Ila thavangaluku oothavi pannunga bro ungalukku ellam nallathave nadakum,3
4604,Iam support lgbtq+_community  vikadanuku oru vendukol atipatai arivu ilathavarkidan ithuponra kelvikalai ketkathirkal india inum pinthanki irupatharku ivarkal than kaaranam oru manithanin vunarvai purinthu kolla villai enralum kochai padutha vendam,3
4605,Endha manasu yaruka daa varum petha Amma kuda epdi arudhal solla matanga yaaa,0
4606,Enga pullainga ellam bayangrooo🤣🤣🤣,0
4607,I love her handling,0
4608,Kandippa thaaaan bro,0
4609,Cill bro ...,0
4610,Super thiru nangai ellarum nalla erupanga,0
4611,Dai thambi super da,0
4612,Ni homo va erthu ona hetrosex Kuda pilla pethuka sonna ni pethupiya?,4
4613,Hi. Iam.mallikarjun. ok,0
4614,Pisasu eppadi vai vazhi dhana sapiduva ?,0
4615,Unna yarum support panna kuppadala,0
4616,Avaga avaga valkai ya avagaluku pidicha mathiri valarathu thappu Illa Oru ankuda sex vachuketta thappu Illa athu Oru ponnu Na thappa Mudittu pode,4
4617,Anna i am waiting na 🥰🥰🥰,0
4618,Evangala serupala adikinum,2
4619,Bro neenga last ta ellarukkum sappatu vaanki thanthadu than enakku pitichi erukku..... Bro naanum ungala mathiri neraiya perukku help pannanum ..... So please support my channel bro.... Keep it up bro........,0
